Binary,Function Name,Function URL
clamscan,SUID,/gtfobins/clamscan/#suid
clamscan,Sudo,/gtfobins/clamscan/#sudo
cmp,File read,/gtfobins/cmp/#file-read
cmp,SUID,/gtfobins/cmp/#suid
cmp,Sudo,/gtfobins/cmp/#sudo
cobc,Shell,/gtfobins/cobc/#shell
cobc,Sudo,/gtfobins/cobc/#sudo
column,File read,/gtfobins/column/#file-read
column,SUID,/gtfobins/column/#suid
column,Sudo,/gtfobins/column/#sudo
comm,File read,/gtfobins/comm/#file-read
comm,SUID,/gtfobins/comm/#suid
comm,Sudo,/gtfobins/comm/#sudo
composer,Shell,/gtfobins/composer/#shell
composer,Sudo,/gtfobins/composer/#sudo
composer,Limited SUID,/gtfobins/composer/#limited-suid
cowsay,Shell,/gtfobins/cowsay/#shell
cowsay,Sudo,/gtfobins/cowsay/#sudo
cowthink,Shell,/gtfobins/cowthink/#shell
cowthink,Sudo,/gtfobins/cowthink/#sudo
cp,File write,/gtfobins/cp/#file-write
cp,File read,/gtfobins/cp/#file-read
cp,SUID,/gtfobins/cp/#suid
cp,Sudo,/gtfobins/cp/#sudo
cpan,Shell,/gtfobins/cpan/#shell
cpan,Reverse shell,/gtfobins/cpan/#reverse-shell
cpan,File upload,/gtfobins/cpan/#file-upload
cpan,File download,/gtfobins/cpan/#file-download
cpan,Sudo,/gtfobins/cpan/#sudo
cpio,Shell,/gtfobins/cpio/#shell
cpio,File write,/gtfobins/cpio/#file-write
cpio,File read,/gtfobins/cpio/#file-read
cpio,SUID,/gtfobins/cpio/#suid
cpio,Sudo,/gtfobins/cpio/#sudo
cpulimit,Shell,/gtfobins/cpulimit/#shell
cpulimit,SUID,/gtfobins/cpulimit/#suid
cpulimit,Sudo,/gtfobins/cpulimit/#sudo
crash,Shell,/gtfobins/crash/#shell
crash,Command,/gtfobins/crash/#command
crash,Sudo,/gtfobins/crash/#sudo
crontab,Command,/gtfobins/crontab/#command
crontab,Sudo,/gtfobins/crontab/#sudo
csh,Shell,/gtfobins/csh/#shell
csh,File write,/gtfobins/csh/#file-write
csh,SUID,/gtfobins/csh/#suid
csh,Sudo,/gtfobins/csh/#sudo
csplit,File write,/gtfobins/csplit/#file-write
csplit,File read,/gtfobins/csplit/#file-read
csplit,SUID,/gtfobins/csplit/#suid
csplit,Sudo,/gtfobins/csplit/#sudo
csvtool,Shell,/gtfobins/csvtool/#shell
csvtool,File write,/gtfobins/csvtool/#file-write
csvtool,File read,/gtfobins/csvtool/#file-read
csvtool,SUID,/gtfobins/csvtool/#suid
csvtool,Sudo,/gtfobins/csvtool/#sudo
cupsfilter,File read,/gtfobins/cupsfilter/#file-read
cupsfilter,SUID,/gtfobins/cupsfilter/#suid
cupsfilter,Sudo,/gtfobins/cupsfilter/#sudo
curl,File upload,/gtfobins/curl/#file-upload
curl,File download,/gtfobins/curl/#file-download
curl,File write,/gtfobins/curl/#file-write
curl,File read,/gtfobins/curl/#file-read
curl,SUID,/gtfobins/curl/#suid
curl,Sudo,/gtfobins/curl/#sudo
cut,File read,/gtfobins/cut/#file-read
cut,SUID,/gtfobins/cut/#suid
cut,Sudo,/gtfobins/cut/#sudo
dash,Shell,/gtfobins/dash/#shell
dash,File write,/gtfobins/dash/#file-write
dash,SUID,/gtfobins/dash/#suid
dash,Sudo,/gtfobins/dash/#sudo
date,File read,/gtfobins/date/#file-read
date,SUID,/gtfobins/date/#suid
date,Sudo,/gtfobins/date/#sudo
